,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
2006-03-21,8358,0.25,7.693754697,3.019927374,0.591020103,7.5,4917.605061,59.916666666666664,-1.5006666666666666
2006-03-22,8359,2.25,8.630136986,2.757318436,1.341334965,,5099.486937,168.625,-1.5543333333333333
2006-03-23,8360,0.0,0.0,2.54473743,1.489298785,,5266.072721,133.20833333333334,-0.31125
2006-03-24,8361,23.25,8.630136986,3.778667598,0.662689712,,4669.218217,40.416666666666664,4.624916666666667
2006-03-25,8362,31.75,8.630136986,18.4243324,0.823576366,,1735.67496,50.416666666666664,6.908458333333333
2006-03-26,8363,20.75,8.630136986,19.72556145,0.717580122,,1789.385025,43.458333333333336,8.50125
2006-03-27,8364,41.75,8.630136986,36.92996648,0.48830682,7.0,938.7345865,29.333333333333332,7.081916666666667
2006-03-28,8365,18.25,9.863013699,18.17260894,0.460140101,,1909.843468,33.416666666666664,3.624416666666667
2006-03-29,8366,7.0,9.863013699,11.22031006,1.083673916,,2615.594091,79.08333333333333,4.1066666666666665
2006-03-30,8367,31.0,9.863013699,17.44184916,0.937859085,,2018.981297,64.83333333333333,7.4160416666666675
2006-03-31,8368,9.5,9.863013699,16.24655866,1.503501556,,1994.210066,96.33333333333333,6.19125
2006-04-01,8369,9.75,9.863013699,12.77419274,1.639085428,,2427.181179,128.91666666666666,4.574041666666667
2006-04-02,8370,20.0,9.863013699,15.09199441,0.510709894,,2155.248611,28.25,4.305458333333333
2006-04-03,8371,1.0,9.863013699,11.3697905,1.952022715,,2573.124018,159.625,2.2779166666666666
2006-04-04,8372,0.25,9.863013699,6.855058659,2.521492471,4.8,3378.821853,216.16666666666666,0.35791666666666666
2006-04-05,8373,0.0,0.0,4.776486034,3.150463473,,4037.369036,258.5,0.55875
2006-04-06,8374,6.75,3.424657534,4.116393855,0.738742379,,4325.356414,57.083333333333336,2.1155416666666667
2006-04-07,8375,2.0,3.424657534,3.580013966,1.807680216,,4580.591405,134.33333333333334,2.797458333333333
2006-04-08,8376,5.75,3.424657534,3.316902235,1.417112687,,4736.986147,137.08333333333334,1.1555833333333334
