Date,year,month,day,WS01,WS02,WS03,WS06,WS07,WS08,WS09,WS10,MACK,LOOKOUT
1984-06-20,1984,6,20,0.016225553331,0.01302574962,0.026844370955999997,0.004672279755,0.003426338487,0.004983765072,0.0021803972189999997,0.002123763525,0.334478596764,2.4635656889999997
1984-06-21,1984,6,21,0.029307936644999998,0.018009514692,0.033612097389,0.004559012367,0.003992675427,0.006003171563999999,0.005153666154,0.004020992274,0.569281892088,3.029902629
1984-06-22,1984,6,22,0.023219814539999998,0.014016839264999999,0.025598429688,0.004105942814999999,0.0037661406510000003,0.005266933542,0.003228120558,0.0030015857819999997,0.453749156328,2.7184173119999997
1984-06-23,1984,6,23,0.018179415774,0.012572680067999999,0.02152080372,0.0037661406510000003,0.0033413879459999996,0.004474061826,0.002293664607,0.002350298301,0.375028321668,2.435248842
1984-06-24,1984,6,24,0.014951295216,0.011694857811,0.019680208664999997,0.003567922722,0.003086536323,0.004020992274,0.002010496137,0.001953862443,0.329239980069,2.26534776
1984-06-25,1984,6,25,0.01245941268,0.011128520871,0.018462584244,0.0033697047929999997,0.002916635241,0.003652873263,0.001755644514,0.001727327667,0.299790459189,2.152080372
1984-06-26,1984,6,26,0.011298421953,0.010363966002,0.018207732621,0.003256437405,0.0028316847,0.0034829721809999997,0.0016706939729999998,0.001585743432,0.28769916552,2.067129831
1984-06-27,1984,6,27,0.010675451318999999,0.009825945909,0.017669712528,0.003086536323,0.002718417312,0.003256437405,0.0016423771260000001,0.001529109738,0.27410707896,2.0388129839999998
1984-06-28,1984,6,28,0.00934455951,0.009825945909,0.016253870177999997,0.0028883183939999997,0.0025485162299999998,0.0030015857819999997,0.001529109738,0.001387525503,0.25224647307599996,1.897228749
1984-06-29,1984,6,29,0.009486143745,0.009514460592,0.016480404953999998,0.0028033678530000002,0.0025201993829999996,0.002973268935,0.001529109738,0.001359208656,0.25462508822400004,1.897228749
1984-06-30,1984,6,30,0.008438420406,0.00906139104,0.015036245757000001,0.002633466771,0.0023219814540000002,0.002690100465,0.001472476044,0.0013308918089999999,0.23018764926299998,1.783961361
1984-07-01,1984,7,1,0.007815449772,0.008693272029,0.014101789806,0.002463565689,0.0021803972189999997,0.002491882536,0.001359208656,0.0012176244209999999,0.214896551883,1.69901082
1984-07-02,1984,7,2,0.007192479138,0.008353469865,0.013308918089999998,0.002350298301,0.002095446678,0.002378615148,0.0012742581149999999,0.0011609907270000001,0.203060109837,1.614060279
1984-07-03,1984,7,3,0.006909310668,0.007900400313000001,0.012912482232,0.002237030913,0.0019821792900000003,0.0023219814540000002,0.001245941268,0.001104357033,0.19261119329399998,1.557426585
1984-07-04,1984,7,4,0.00679604328,0.007419013914,0.012544363220999999,0.002123763525,0.001897228749,0.002208714066,0.0012176244209999999,0.001047723339,0.182728613691,1.472476044
1984-07-05,1984,7,5,0.006399607422,0.00679604328,0.012147927363,0.002010496137,0.0018122782079999999,0.002095446678,0.0012176244209999999,0.0010194064919999998,0.174403460673,1.387525503
1984-07-06,1984,7,6,0.006173072646,0.0062863400339999995,0.011836442046,0.001925545596,0.001727327667,0.001953862443,0.0012176244209999999,0.0010194064919999998,0.166871179371,1.330891809
1984-07-07,1984,7,7,0.0060598052579999995,0.00594653787,0.011666540964,0.001868911902,0.0016423771260000001,0.001840595055,0.0012176244209999999,0.0010194064919999998,0.159112363293,1.302574962
1984-07-08,1984,7,8,0.006003171563999999,0.005635052553,0.011524956728999999,0.001783961361,0.001585743432,0.001755644514,0.0011609907270000001,0.000877822257,0.151749983073,1.245941268
1984-07-09,1984,7,9,0.005776636787999999,0.005238616695,0.011213471412000001,0.001727327667,0.0015007928909999998,0.00169901082,0.001104357033,0.000962772798,0.14639809899,1.217624421
1984-07-10,1984,7,10,0.005635052553,0.004842180837,0.010817035554,0.0016706939729999998,0.00141584235,0.0016423771260000001,0.0010194064919999998,0.000934455951,0.14200898770499998,1.1893075739999999
1984-07-11,1984,7,11,0.0053235672359999995,0.004559012367,0.010137431225999999,0.001614060279,0.001359208656,0.001585743432,0.0009910896450000001,0.00084950541,0.136685420469,1.160990727
1984-07-12,1984,7,12,0.005408517777,0.00453069552,0.010137431225999999,0.001557426585,0.001302574962,0.001557426585,0.0009910896450000001,0.000792871716,0.13280601243,1.13267388
1984-07-13,1984,7,13,0.004983765072,0.004445744979,0.010024163837999998,0.0015007928909999998,0.0012742581149999999,0.001472476044,0.0010194064919999998,0.000792871716,0.12898323808499998,1.076040186
1984-07-14,1984,7,14,0.004728913449,0.004219210203,0.009939213297,0.0014441591969999998,0.001245941268,0.0014441591969999998,0.001047723339,0.000792871716,0.125925018609,1.047723339
